demande_id,citoyen_id,type_demande,date_demande,date_traitement,statut,mode_retrait
1,2680,LIVRET_FAMILLE,2024-10-17,2024-11-01,EN_COURS,EN_LIGNE
2,1094,ACTE_DECES,2023-03-05,2023-03-23,TERMINEE,COURRIER
3,1520,ACTE_NAISSANCE,2025-10-17,2025-10-31,ENREGISTREE,COURRIER
4,2270,ACTE_MARIAGE,2023-10-20,2023-10-27,ENREGISTREE,GUICHET
5,596,ACTE_MARIAGE,2025-02-07,2025-02-13,EN_COURS,EN_LIGNE
6,2231,ACTE_NAISSANCE,2023-02-13,2023-02-16,TERMINEE,EN_LIGNE
7,1225,ACTE_NAISSANCE,2025-08-28,2025-09-16,TERMINEE,COURRIER
8,893,ACTE_MARIAGE,2024-06-04,2024-06-18,ENREGISTREE,GUICHET
9,1879,LIVRET_FAMILLE,2024-02-17,2024-02-25,ENREGISTREE,GUICHET
10,247,ACTE_MARIAGE,2024-01-11,2024-01-30,TERMINEE,GUICHET
11,720,ACTE_NAISSANCE,2024-07-10,2024-07-19,REFUSEE,COURRIER
12,2988,ACTE_NAISSANCE,2023-11-01,2023-11-17,EN_COURS,COURRIER
13,2307,ACTE_DECES,2024-01-31,2024-02-15,EN_COURS,COURRIER
14,302,ACTE_MARIAGE,2023-05-24,2023-06-03,ENREGISTREE,EN_LIGNE
15,1973,ACTE_DECES,2024-05-08,2024-05-27,REFUSEE,COURRIER
16,2807,ACTE_NAISSANCE,2024-06-13,2024-06-25,ENREGISTREE,EN_LIGNE
17,609,ACTE_NAISSANCE,2024-07-29,2024-08-02,EN_COURS,GUICHET
18,166,LIVRET_FAMILLE,2024-05-01,2024-05-03,TERMINEE,EN_LIGNE
19,2641,ACTE_DECES,2025-01-18,2025-01-31,REFUSEE,COURRIER
20,338,ACTE_DECES,2025-04-18,2025-05-03,ENREGISTREE,GUICHET
21,321,ACTE_NAISSANCE,2025-01-14,2025-01-27,REFUSEE,EN_LIGNE
22,1385,ACTE_DECES,2024-02-12,2024-02-16,ENREGISTREE,EN_LIGNE
23,405,ACTE_NAISSANCE,2023-10-04,2023-10-16,TERMINEE,EN_LIGNE
24,2142,ACTE_NAISSANCE,2025-07-10,2025-07-27,ENREGISTREE,GUICHET
25,220,LIVRET_FAMILLE,2025-10-05,2025-10-05,EN_COURS,EN_LIGNE
26,682,ACTE_MARIAGE,2024-01-05,2024-01-09,ENREGISTREE,EN_LIGNE
27,27,ACTE_MARIAGE,2023-08-29,2023-09-02,EN_COURS,GUICHET
28,2810,ACTE_DECES,2023-09-08,2023-09-11,EN_COURS,COURRIER
29,668,ACTE_DECES,2025-07-05,2025-07-19,REFUSEE,EN_LIGNE
30,381,ACTE_DECES,2023-03-29,2023-04-07,ENREGISTREE,EN_LIGNE
31,1864,LIVRET_FAMILLE,2024-04-06,2024-04-06,EN_COURS,GUICHET
32,52,LIVRET_FAMILLE,2023-08-28,2023-09-15,REFUSEE,COURRIER
33,834,LIVRET_FAMILLE,2024-06-25,2024-07-06,REFUSEE,EN_LIGNE
34,2951,LIVRET_FAMILLE,2025-08-12,2025-08-18,ENREGISTREE,EN_LIGNE
35,1157,ACTE_NAISSANCE,2024-03-03,2024-03-22,EN_COURS,EN_LIGNE
36,2478,ACTE_MARIAGE,2024-01-17,2024-01-24,TERMINEE,EN_LIGNE
37,2017,ACTE_NAISSANCE,2023-03-26,2023-04-06,ENREGISTREE,GUICHET
38,1793,ACTE_NAISSANCE,2025-01-09,2025-01-21,EN_COURS,GUICHET
39,2182,ACTE_DECES,2025-05-31,2025-06-16,ENREGISTREE,COURRIER
40,145,LIVRET_FAMILLE,2024-02-25,2024-03-13,EN_COURS,EN_LIGNE
41,195,ACTE_DECES,2025-01-08,2025-01-19,REFUSEE,COURRIER
42,524,LIVRET_FAMILLE,2025-03-22,2025-03-23,TERMINEE,GUICHET
43,623,ACTE_DECES,2025-06-25,2025-06-29,EN_COURS,GUICHET
44,100,ACTE_NAISSANCE,2024-07-05,2024-07-10,TERMINEE,GUICHET
45,2218,ACTE_MARIAGE,2023-07-11,2023-07-11,TERMINEE,EN_LIGNE
46,1589,ACTE_NAISSANCE,2023-08-11,2023-08-17,ENREGISTREE,GUICHET
47,1894,ACTE_MARIAGE,2025-03-11,2025-03-30,EN_COURS,EN_LIGNE
48,1871,ACTE_DECES,2023-04-22,2023-05-03,EN_COURS,EN_LIGNE
49,2809,ACTE_MARIAGE,2023-10-15,2023-11-01,TERMINEE,EN_LIGNE
50,2929,ACTE_NAISSANCE,2023-10-13,2023-10-27,REFUSEE,EN_LIGNE
51,2385,ACTE_DECES,2024-01-29,2024-02-13,EN_COURS,GUICHET
52,420,ACTE_NAISSANCE,2025-05-12,2025-05-21,ENREGISTREE,GUICHET
53,696,ACTE_DECES,2025-01-26,2025-02-12,TERMINEE,EN_LIGNE
54,1341,ACTE_MARIAGE,2024-07-28,2024-08-03,TERMINEE,GUICHET
55,690,ACTE_MARIAGE,2025-01-18,2025-01-21,TERMINEE,GUICHET
56,510,ACTE_NAISSANCE,2023-06-13,2023-06-24,TERMINEE,EN_LIGNE
57,2937,LIVRET_FAMILLE,2024-07-29,2024-08-03,EN_COURS,GUICHET
58,428,ACTE_MARIAGE,2023-10-26,2023-10-31,REFUSEE,EN_LIGNE
59,673,ACTE_MARIAGE,2025-02-08,2025-02-11,TERMINEE,GUICHET
60,1323,ACTE_DECES,2025-01-01,2025-01-01,EN_COURS,GUICHET
61,1655,LIVRET_FAMILLE,2023-09-08,2023-09-23,EN_COURS,EN_LIGNE
62,2988,LIVRET_FAMILLE,2024-06-18,2024-07-03,REFUSEE,EN_LIGNE
63,2565,ACTE_DECES,2025-08-15,2025-08-30,REFUSEE,EN_LIGNE
