rdv_id,citoyen_id,service_id,type_rdv,date_demande,date_rdv,statut,canal,commentaire
1,1738,10,Rendez-vous social,2024-09-21,2024-09-23,HONORE,EN_LIGNE,
2,1905,16,Mariage,2023-02-26,2023-03-08,CONFIRME,GUICHET,
3,546,16,Passeport,2023-02-18,2023-03-03,EN_ATTENTE,GUICHET,
4,1253,15,Passeport,2025-08-26,2025-09-13,ANNULE,GUICHET,
5,753,12,Passeport,2025-06-12,2025-07-06,HONORE,EN_LIGNE,
6,261,7,Carte d'identité,2023-02-01,2023-02-23,ANNULE,TELEPHONE,
7,2532,13,Passeport,2023-12-10,2024-01-01,ANNULE,EN_LIGNE,
8,892,14,Mariage,2023-02-23,2023-03-09,EN_ATTENTE,EN_LIGNE,
9,2523,10,Passeport,2024-10-05,2024-10-26,HONORE,GUICHET,
10,754,5,Etat civil,2023-07-14,2023-07-18,ANNULE,EN_LIGNE,
11,3000,10,Urbanisme,2023-09-21,2023-10-20,CONFIRME,EN_LIGNE,
12,2659,5,Urbanisme,2023-06-25,2023-07-02,CONFIRME,EN_LIGNE,
13,1665,3,Passeport,2025-04-11,2025-05-09,ANNULE,TELEPHONE,
14,2778,10,Passeport,2025-09-23,2025-10-08,EN_ATTENTE,EN_LIGNE,
15,2473,11,Etat civil,2023-08-14,2023-08-25,ANNULE,GUICHET,
16,1859,5,Urbanisme,2023-05-03,2023-05-18,EN_ATTENTE,TELEPHONE,
17,2651,12,Mariage,2025-03-31,2025-04-05,ANNULE,TELEPHONE,
18,534,7,Passeport,2023-12-31,2024-01-10,HONORE,GUICHET,
19,1542,7,Passeport,2023-05-22,2023-06-05,ANNULE,TELEPHONE,
20,106,1,Carte d'identité,2025-07-30,2025-08-01,EN_ATTENTE,TELEPHONE,
21,2166,9,Naissance,2024-09-20,2024-09-21,EN_ATTENTE,EN_LIGNE,
22,1997,9,Rendez-vous social,2024-06-07,2024-06-15,HONORE,EN_LIGNE,
23,1809,7,Passeport,2025-03-09,2025-04-08,EN_ATTENTE,TELEPHONE,
24,1268,13,Rendez-vous social,2025-07-28,2025-07-31,EN_ATTENTE,TELEPHONE,
25,278,6,Naissance,2025-09-30,2025-10-20,CONFIRME,TELEPHONE,
26,1825,15,Carte d'identité,2025-05-05,2025-05-21,HONORE,TELEPHONE,
27,2869,5,Passeport,2024-04-26,2024-05-16,EN_ATTENTE,GUICHET,
28,2116,4,Carte d'identité,2025-04-30,2025-05-10,HONORE,EN_LIGNE,
29,875,11,Carte d'identité,2024-12-21,2025-01-11,ANNULE,GUICHET,
30,1871,1,Naissance,2025-07-31,2025-08-25,EN_ATTENTE,TELEPHONE,
31,1811,2,Rendez-vous social,2024-09-24,2024-10-14,HONORE,TELEPHONE,
32,863,1,Etat civil,2023-05-26,2023-06-01,EN_ATTENTE,TELEPHONE,
33,428,5,Passeport,2023-12-19,2024-01-06,CONFIRME,EN_LIGNE,
34,2615,6,Mariage,2025-01-01,2025-01-15,CONFIRME,TELEPHONE,
35,215,12,Carte d'identité,2024-12-01,2024-12-30,CONFIRME,TELEPHONE,
36,429,16,Passeport,2024-08-14,2024-08-31,HONORE,TELEPHONE,
37,1314,5,Naissance,2025-04-06,2025-05-05,CONFIRME,GUICHET,
38,1105,7,Passeport,2024-09-22,2024-10-08,CONFIRME,EN_LIGNE,
39,97,6,Urbanisme,2023-04-16,2023-04-18,EN_ATTENTE,TELEPHONE,
40,1199,13,Etat civil,2025-07-26,2025-08-07,HONORE,EN_LIGNE,
41,2925,2,Rendez-vous social,2023-08-07,2023-08-23,ANNULE,TELEPHONE,
42,193,14,Passeport,2024-04-19,2024-04-24,HONORE,EN_LIGNE,
43,226,8,Urbanisme,2023-08-29,2023-09-08,ANNULE,GUICHET,
44,2549,7,Rendez-vous social,2024-01-03,2024-01-14,EN_ATTENTE,TELEPHONE,
45,2984,12,Etat civil,2025-03-23,2025-04-04,EN_ATTENTE,GUICHET,
46,2953,11,Mariage,2024-06-03,2024-06-24,HONORE,EN_LIGNE,
47,891,13,Carte d'identité,2024-06-25,2024-06-28,EN_ATTENTE,EN_LIGNE,
48,2775,6,Etat civil,2025-02-07,2025-02-19,EN_ATTENTE,TELEPHONE,
49,240,14,Urbanisme,2024-05-16,2024-05-19,HONORE,EN_LIGNE,
50,2853,15,Carte d'identité,2023-09-13,2023-09-25,ANNULE,GUICHET,
51,733,14,Etat civil,2024-11-21,2024-12-04,HONORE,EN_LIGNE,
52,331,9,Naissance,2024-03-09,2024-04-06,CONFIRME,EN_LIGNE,
53,135,16,Rendez-vous social,2023-04-06,2023-04-12,EN_ATTENTE,GUICHET,
54,186,15,Passeport,2023-12-11,2023-12-15,ANNULE,TELEPHONE,
55,2531,11,Mariage,2024-01-30,2024-02-14,HONORE,EN_LIGNE,
56,2215,13,Etat civil,2023-06-18,2023-07-12,ANNULE,GUICHET,
57,2627,16,Naissance,2025-07-11,2025-08-08,EN_ATTENTE,EN_LIGNE,
58,426,3,Rendez-vous social,2024-02-28,2024-03-19,HONORE,EN_LIGNE,
59,2815,5,Urbanisme,2024-03-31,2024-04-29,CONFIRME,EN_LIGNE,
60,862,15,Passeport,2024-11-17,2024-11-25,HONORE,GUICHET,
61,123,13,Naissance,2024-05-10,2024-05-15,HONORE,TELEPHONE,
62,2254,13,Mariage,2024-05-27,2024-05-28,HONORE,EN_LIGNE,
63,2921,6,Passeport,2023-08-03,2023-08-26,HONORE,TELEPHONE,
64,2585,10,Urbanisme,2025-08-14,2025-08-21,CONFIRME,GUICHET,
65,2409,16,Etat civil,2023-09-28,2023-10-26,HONORE,GUICHET,
66,1561,3,Naissance,2025-02-28,2025-03-26,EN_ATTENTE,TELEPHONE,
67,1940,13,Etat civil,2023-04-14,2023-05-14,ANNULE,GUICHET,
68,2657,12,Carte d'identité,2024-08-24,2024-09-11,EN_ATTENTE,TELEPHONE,
69,813,16,Passeport,2023-03-09,2023-03-28,ANNULE,TELEPHONE,
70,135,11,Etat civil,2024-02-26,2024-03-10,CONFIRME,EN_LIGNE,
71,1848,6,Rendez-vous social,2024-07-15,2024-08-05,HONORE,TELEPHONE,
72,1628,1,Carte d'identité,2025-01-01,2025-01-03,EN_ATTENTE,TELEPHONE,
73,1312,13,Naissance,2024-04-26,2024-05-23,CONFIRME,GUICHET,
74,1656,16,Mariage,2023-05-26,2023-05-28,ANNULE,GUICHET,
75,1380,4,Urbanisme,2024-12-12,2025-01-03,CONFIRME,GUICHET,
76,1861,6,Rendez-vous social,2023-06-08,2023-06-27,HONORE,EN_LIGNE,
77,598,5,Rendez-vous social,2023-10-18,2023-10-25,HONORE,EN_LIGNE,
78,2261,15,Carte d'identité,2025-09-06,2025-09-08,ANNULE,TELEPHONE,
79,1534,16,Urbanisme,2023-11-24,2023-12-21,HONORE,GUICHET,
80,2132,8,Passeport,2025-06-05,2025-06-20,CONFIRME,EN_LIGNE,
81,2716,10,Etat civil,2024-02-16,2024-03-02,CONFIRME,TELEPHONE,
82,2604,4,Carte d'identité,2024-01-09,2024-01-22,ANNULE,TELEPHONE,
83,2640,1,Mariage,2023-02-15,2023-03-05,HONORE,TELEPHONE,
84,1376,8,Etat civil,2023-02-21,2023-02-26,CONFIRME,TELEPHONE,
85,1494,1,Mariage,2024-02-18,2024-03-10,EN_ATTENTE,TELEPHONE,
86,1927,1,Mariage,2023-11-15,2023-11-16,CONFIRME,EN_LIGNE,
87,1854,3,Carte d'identité,2023-10-18,2023-10-24,ANNULE,TELEPHONE,
88,1842,6,Passeport,2024-04-11,2024-04-16,CONFIRME,GUICHET,
89,1670,9,Rendez-vous social,2024-11-02,2024-11-07,ANNULE,TELEPHONE,
90,516,8,Naissance,2024-05-19,2024-06-11,CONFIRME,EN_LIGNE,
91,1268,1,Naissance,2025-08-23,2025-09-17,EN_ATTENTE,GUICHET,
92,1416,4,Naissance,2025-05-02,2025-05-23,EN_ATTENTE,GUICHET,
93,2074,1,Mariage,2023-05-08,2023-05-08,CONFIRME,EN_LIGNE,
94,1614,6,Passeport,2023-10-28,2023-11-21,HONORE,TELEPHONE,
95,521,6,Passeport,2025-01-06,2025-01-14,CONFIRME,TELEPHONE,
96,2002,8,Rendez-vous social,2023-10-02,2023-10-07,CONFIRME,EN_LIGNE,
97,418,11,Carte d'identité,2024-05-02,2024-05-12,EN_ATTENTE,EN_LIGNE,
98,1608,7,Rendez-vous social,2024-01-16,2024-02-14,ANNULE,TELEPHONE,
99,1481,4,Etat civil,2025-03-19,2025-04-14,EN_ATTENTE,TELEPHONE,
100,18,13,Urbanisme,2024-08-29,2024-09-23,HONORE,EN_LIGNE,
101,921,7,Mariage,2025-05-20,2025-06-15,EN_ATTENTE,GUICHET,
102,1397,15,Carte d'identité,2023-11-02,2023-11-20,ANNULE,TELEPHONE,
103,1249,16,Etat civil,2023-07-11,2023-07-13,CONFIRME,EN_LIGNE,
104,2697,1,Passeport,2023-11-14,2023-12-07,EN_ATTENTE,GUICHET,
105,2908,3,Mariage,2024-06-22,2024-07-02,HONORE,EN_LIGNE,
106,1683,7,Passeport,2024-11-27,2024-12-09,ANNULE,GUICHET,
107,1723,12,Carte d'identité,2023-06-04,2023-06-16,ANNULE,GUICHET,
108,1814,13,Etat civil,2024-01-12,2024-01-18,ANNULE,TELEPHONE,
109,1255,12,Naissance,2023-08-02,2023-08-09,ANNULE,GUICHET,
110,19,9,Urbanisme,2024-05-30,2024-06-08,EN_ATTENTE,TELEPHONE,
111,637,14,Urbanisme,2023-09-03,2023-09-17,ANNULE,TELEPHONE,
112,2901,9,Urbanisme,2024-01-06,2024-01-09,CONFIRME,GUICHET,
113,1236,5,Naissance,2023-08-09,2023-09-04,ANNULE,EN_LIGNE,
114,2103,3,Naissance,2023-02-27,2023-03-07,ANNULE,EN_LIGNE,
115,426,15,Carte d'identité,2023-07-26,2023-08-16,CONFIRME,GUICHET,
116,1497,8,Naissance,2024-10-31,2024-11-16,CONFIRME,EN_LIGNE,
117,690,16,Etat civil,2023-02-19,2023-03-01,CONFIRME,GUICHET,
118,1322,3,Urbanisme,2024-10-12,2024-10-25,CONFIRME,GUICHET,
119,2904,10,Urbanisme,2023-05-15,2023-06-14,EN_ATTENTE,GUICHET,
120,2760,3,Passeport,2024-04-16,2024-05-10,HONORE,TELEPHONE,
121,1828,3,Naissance,2025-01-04,2025-01-31,CONFIRME,EN_LIGNE,
122,2618,6,Carte d'identité,2024-09-11,2024-09-26,ANNULE,GUICHET,
123,2341,5,Naissance,2023-10-29,2023-11-10,CONFIRME,GUICHET,
124,2642,9,Carte d'identité,2023-03-27,2023-04-25,HONORE,TELEPHONE,
125,1888,4,Naissance,2025-05-05,2025-06-04,EN_ATTENTE,GUICHET,
126,2719,3,Passeport,2023-12-27,2024-01-26,HONORE,GUICHET,
127,2479,7,Etat civil,2024-09-11,2024-09-18,ANNULE,TELEPHONE,
128,409,7,Urbanisme,2025-06-07,2025-07-02,CONFIRME,TELEPHONE,
129,1909,10,Rendez-vous social,2025-03-01,2025-03-14,EN_ATTENTE,TELEPHONE,
130,45,11,Carte d'identité,2024-05-08,2024-05-22,EN_ATTENTE,TELEPHONE,
131,2737,8,Passeport,2025-08-19,2025-08-23,ANNULE,GUICHET,
132,1064,16,Etat civil,2025-05-05,2025-05-29,HONORE,EN_LIGNE,
133,320,6,Etat civil,2025-07-17,2025-08-12,HONORE,EN_LIGNE,
134,2716,13,Mariage,2025-07-12,2025-07-31,ANNULE,TELEPHONE,
135,577,2,Carte d'identité,2023-07-02,2023-07-15,CONFIRME,GUICHET,
136,801,3,Mariage,2023-08-05,2023-08-17,ANNULE,GUICHET,
137,2592,15,Carte d'identité,2025-02-27,2025-03-14,HONORE,EN_LIGNE,
138,480,5,Naissance,2025-01-14,2025-01-21,EN_ATTENTE,TELEPHONE,
139,1372,11,Rendez-vous social,2023-01-03,2023-01-15,EN_ATTENTE,TELEPHONE,
140,460,10,Naissance,2024-04-24,2024-05-21,HONORE,EN_LIGNE,
141,929,15,Urbanisme,2025-02-14,2025-02-24,HONORE,TELEPHONE,
142,1803,14,Rendez-vous social,2023-04-28,2023-05-07,EN_ATTENTE,TELEPHONE,
143,531,12,Naissance,2023-05-07,2023-05-18,ANNULE,EN_LIGNE,
144,1674,2,Urbanisme,2024-11-07,2024-11-17,CONFIRME,GUICHET,
145,2142,6,Urbanisme,2023-08-26,2023-08-30,ANNULE,TELEPHONE,
146,2097,7,Rendez-vous social,2024-09-24,2024-10-23,HONORE,GUICHET,
147,2865,12,Mariage,2023-08-10,2023-08-24,ANNULE,TELEPHONE,
148,1013,12,Mariage,2025-03-13,2025-03-31,CONFIRME,EN_LIGNE,
149,1369,9,Urbanisme,2025-09-25,2025-10-01,ANNULE,TELEPHONE,
150,724,16,Etat civil,2023-06-07,2023-07-02,EN_ATTENTE,TELEPHONE,
151,1520,7,Naissance,2024-12-02,2024-12-26,HONORE,TELEPHONE,
152,800,9,Carte d'identité,2023-04-08,2023-04-29,HONORE,GUICHET,
153,2693,5,Mariage,2024-06-23,2024-07-06,CONFIRME,EN_LIGNE,
154,2486,15,Naissance,2023-11-05,2023-11-15,HONORE,GUICHET,
155,2572,9,Etat civil,2025-07-03,2025-07-09,HONORE,EN_LIGNE,
156,349,10,Mariage,2023-09-01,2023-09-06,EN_ATTENTE,TELEPHONE,
157,1034,10,Naissance,2023-03-09,2023-03-21,ANNULE,TELEPHONE,
158,603,10,Urbanisme,2025-01-08,2025-01-16,EN_ATTENTE,TELEPHONE,
159,93,12,Urbanisme,2025-09-20,2025-10-12,ANNULE,EN_LIGNE,
160,824,12,Carte d'identité,2025-08-03,2025-08-15,CONFIRME,EN_LIGNE,
161,1855,15,Mariage,2025-09-27,2025-09-29,EN_ATTENTE,GUICHET,
162,116,13,Naissance,2024-12-25,2025-01-13,HONORE,EN_LIGNE,
