demande_id,citoyen_id,type_demande,adresse_projet,code_postal,arrondissement,date_demande,date_decision,statut
1,9,PERMIS_CONSTRUIRE,207 Rue de Lodi,13010,10e,2024-08-15,2024-08-31,ACCEPTEE
2,2302,AUTORISATION_TRAVAUX,107 Rue de Rome,13001,14e,2024-03-30,2024-07-26,REFUSEE
3,1621,PERMIS_CONSTRUIRE,187 Rue de Lodi,13009,2e,2025-03-09,2025-06-01,INSTRUCTION
4,1861,AUTORISATION_TRAVAUX,58 Rue de la République,13003,7e,2023-07-27,2023-09-17,REFUSEE
5,445,DECLARATION_PREALABLE,196 Rue de Lodi,13008,3e,2024-11-01,2025-01-21,REFUSEE
6,1936,DECLARATION_PREALABLE,167 Rue de Rome,13010,15e,2024-11-09,2025-01-08,INSTRUCTION
7,384,AUTORISATION_TRAVAUX,126 Boulevard National,13010,1e,2025-05-30,2025-08-10,ENREGISTREE
8,2910,PERMIS_CONSTRUIRE,217 Boulevard Baille,13010,11e,2024-12-08,2025-02-14,REFUSEE
9,505,PERMIS_CONSTRUIRE,4 Boulevard National,13016,14e,2023-08-11,2023-11-12,ENREGISTREE
10,471,DECLARATION_PREALABLE,170 Boulevard National,13004,7e,2024-01-25,2024-02-16,INSTRUCTION
11,807,AUTORISATION_TRAVAUX,178 Avenue du Prado,13012,2e,2024-03-01,2024-05-10,REFUSEE
12,1982,AUTORISATION_TRAVAUX,176 Rue de Lodi,13016,10e,2025-06-10,2025-07-20,REFUSEE
13,2966,PERMIS_CONSTRUIRE,3 Rue de la République,13007,5e,2023-03-06,2023-05-05,INSTRUCTION
14,311,AUTORISATION_TRAVAUX,215 Rue d'Aubagne,13015,4e,2023-09-29,2024-01-17,ENREGISTREE
15,1217,AUTORISATION_TRAVAUX,73 Boulevard Baille,13009,4e,2025-02-19,2025-06-18,ENREGISTREE
16,1996,PERMIS_CONSTRUIRE,153 Rue de Rome,13012,11e,2024-01-30,2024-03-22,REFUSEE
17,1423,DECLARATION_PREALABLE,136 Rue Paradis,13010,6e,2023-10-20,2023-12-30,INSTRUCTION
18,1059,AUTORISATION_TRAVAUX,65 Rue Paradis,13007,7e,2024-02-03,2024-03-02,ACCEPTEE
19,2083,AUTORISATION_TRAVAUX,14 Rue de la République,13001,4e,2023-03-01,2023-04-06,REFUSEE
20,2662,DECLARATION_PREALABLE,173 Avenue du Prado,13010,15e,2024-01-27,2024-02-29,INSTRUCTION
21,251,AUTORISATION_TRAVAUX,103 Rue Paradis,13008,12e,2024-04-08,2024-05-01,ENREGISTREE
22,966,AUTORISATION_TRAVAUX,192 Rue de Lodi,13012,12e,2024-12-07,2024-12-30,ACCEPTEE
23,1381,PERMIS_CONSTRUIRE,15 Rue d'Aubagne,13007,2e,2023-03-02,2023-03-29,ENREGISTREE
24,224,AUTORISATION_TRAVAUX,113 Rue d'Aubagne,13008,16e,2025-06-06,2025-08-02,ACCEPTEE
25,148,DECLARATION_PREALABLE,228 Rue de Lodi,13013,6e,2023-12-20,2024-04-05,INSTRUCTION
26,1638,AUTORISATION_TRAVAUX,154 Boulevard National,13016,12e,2024-05-17,2024-06-01,INSTRUCTION
27,2492,AUTORISATION_TRAVAUX,222 Avenue du Prado,13006,1e,2023-09-24,2024-01-21,ENREGISTREE
28,660,PERMIS_CONSTRUIRE,59 Boulevard Baille,13013,9e,2023-01-15,2023-04-27,ENREGISTREE
29,1612,DECLARATION_PREALABLE,36 Rue de Rome,13005,15e,2024-05-10,2024-07-28,ENREGISTREE
30,2776,DECLARATION_PREALABLE,241 Boulevard National,13012,2e,2025-08-17,2025-12-03,REFUSEE
31,394,AUTORISATION_TRAVAUX,64 Rue de la République,13011,12e,2023-02-11,2023-03-07,REFUSEE
32,1745,AUTORISATION_TRAVAUX,148 Boulevard Baille,13002,2e,2025-08-06,2025-11-20,REFUSEE
33,2235,PERMIS_CONSTRUIRE,232 Rue de la République,13012,5e,2024-11-30,2025-01-15,REFUSEE
